Name	SMILES
verteporfin	C=Cc1c(C)c2[nH]c1=Cc1[nH]c(c(CCC(=O)O)c1C)C=c1[nH]c(c(C)c1CCC(=O)OC)=CC1=NC(=C3C=CC(C(=O)OC)=C(C(=O)OC)C13C)C=2
formaldehyde	C=O
tirabrutinib	CC#CC(=O)N1CCC(n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
acalabrutinib	CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12
mifepristone	CC#CC1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C
iloprost	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21
beraprost	CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21
linagliptin	CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
lanabecestat	CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(=N)N2)C2(CCC(OC)CC2)C3)c1
thiamine disulfide	CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
fursultiamine	CC(=C(CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N
sulbutiamine	CC(=C(CCOC(=O)C(C)C)SSC(CCOC(=O)C(C)C)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
dibenzoyl thiamine	CC(=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
bisbentiamine	CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
benfotiamine	CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
omoconazole	CC(=C(OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1
mupirocin	CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O
epalrestat	CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O
ixabepilone	CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1
epothilone a	CC(=Cc1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
panipenem	CC(=N)N1CCC(SC2=C(C(=O)O)N3C(=O)C(C(C)O)C3C2)C1
acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1
medrogestone	CC(=O)C1(C)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C
amrubicin	CC(=O)C1(N)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(O)C(O)CO2)C1
nomegestrol	CC(=O)C1(O)CCC2C3=CC(C)=C4CC(=O)CCC4C3CCC21C
chlormadinone	CC(=O)C1(O)CCC2C3=CC(Cl)=C4CC(=O)CCC4(C)C3CCC21C
fluorometholone	CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
deprodone	CC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C
hydroxyprogesterone	CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C
ulipristal	CC(=O)C1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C
idarubicin	CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1
algestone acetophenide	CC(=O)C12OC(C)(c3ccccc3)OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C
dydrogesterone	CC(=O)C1CCC2C3=CC=C4CC(=O)CCC4(C)C3CCC12C
pregnenolone	CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
progesterone	CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
alfaxalone	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C
brexanolone	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
acenocoumarol	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
warfarin	CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
laevulinic acid	CC(=O)CCC(=O)O
calcium levulinate	CC(=O)CCC(=O)O
teprenone	CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
pentoxifylline	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
4-hydroxybutan-2-one	CC(=O)CCO
ioxilan	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
deferoxamine	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
acetylfentanyl	CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
ketoconazole	CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
methazolamide	CC(=O)N=c1sc(S(N)(=O)=O)nn1C
spaglumic acid	CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O
l-acetylleucine	CC(=O)NC(CC(C)C)C(=O)O
acetylleucine	CC(=O)NC(CC(C)C)C(=O)O
aceglutamide	CC(=O)NC(CCC(N)=O)C(=O)O
acetylcysteine	CC(=O)NC(CS)C(=O)O
zanamivir	CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO
bms-813160	CC(=O)NC1CC(NC(C)(C)C)CCC1N1CCC(Nc2ncnc3cc(C(C)(C)C)nn23)C1=O
linezolid	CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
acamprosate	CC(=O)NCCCS(=O)(=O)O
acamprosate calcium	CC(=O)NCCCS(=O)(=O)O
iodamide	CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
acetohydroxamic acid	CC(O)=NO
sulfacetamide	CC(=O)NS(=O)(=O)c1ccc(N)cc1
ioxitalamic acid	CC(=O)Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c1I
diatrizoate meglumine	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
diatrizoate	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
tacedinaline	CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
acedoben	CC(=O)Nc1ccc(C(=O)O)cc1
amithiozone	CC(=O)Nc1ccc(C=NNC(N)=S)cc1
actarit	CC(=O)Nc1ccc(CC(=O)O)cc1
acetaminophen	CC(=O)Nc1ccc(O)cc1
acetaminosalol	CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1
diacetolol	CC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
trametinib	CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
acetazolamide	CC(=O)Nc1nnc(S(N)(=O)=O)s1
acetate	CC(=O)O
acetic acid	CC(=O)O
ammonium acetate	CC(=O)O
methacholine	CC(=O)OC(C)C[N+](C)(C)C
acetylcarnitine	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
megestrol acetate	CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C
nomegestrol acetate	CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4C3CCC21C
cyproterone acetate	CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C
medroxyprogesterone acetate	CC(=O)OC1(C(C)=O)CCC2C3CC(C)=C4CC(=O)CCC4(C)C3CCC21C
ulipristal acetate	CC(=O)OC1(C(C)=O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C
norgestomet	CC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(=O)CCC4C3C(C)CC21C
cinobufotalin	CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13
fusidic acid	CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O
isobornyl acetate	CC(=O)OC1CC2CCC1(C)C2(C)C
pipecuronium	CC(=O)OC1CC2CCC3C(CCC4(C)C3CC(N3CC[N+](C)(C)CC3)C4OC(C)=O)C2(C)CC1N1CC[N+](C)(C)CC1
vecuronium	CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1
pancuronium	CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1
7-oxodehydroepiandrosterone acetate	CC(=O)OC1C=C2CC(=O)C3C4CCC(=O)C4(C)CCC3C2(C)CC1
abiraterone acetate	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1
eslicarbazepine acetate	CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21
cortivazol	CC(=O)OCC(=O)C1(O)C(C)CC2C3C=C(C)C4=Cc5c(cnn5-c5ccccc5)CC4(C)C3C(O)CC21C
dexamethasone acetate	CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
betamethasone acetate	CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
prednisone acetate	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C
prednisolone acetate	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C
cortisone acetate	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C
hydrocortisone acetate	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C
deflazacort	CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C
fluocinonide	CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
amcinonide	CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C
desoxycorticosterone acetate	CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
roxatidine acetate	CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1
famciclovir	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
triacetin	CC(=O)OCC(COC(C)=O)OC(C)=O
ralaniten acetate	CC(=O)OCC(COc1ccc(C(C)(C)c2ccc(OCC(CCl)OC(C)=O)cc2)cc1)OC(C)=O
cefacetrile	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1
cephalosporin c	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1
cefathiamidine	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSC(=NC(C)C)NC(C)C)C2SC1
cefapirin	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
cefalotin	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
uridine triacetate	CC(=O)OCC1OC(n2ccc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O
acetiamine	CC(=O)OCCC(SC(C)=O)=C(C)N(C=O)Cc1cnc(C)nc1N
acetylcholine	CC(=O)OCC[N+](C)(C)C
penamecillin	CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C
metipranolol	CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
triflusal	CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
acetomenaphthone	CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12
prasugrel	CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
bisacodyl	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
diamorphine	CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341
diacerein	CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O
nitazoxanide	CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
carbaspirin calcium	CC(=O)Oc1ccccc1C(=O)O
lysine acetylsalicylate	CC(=O)Oc1ccccc1C(=O)O
carbaspirin	CC(=O)Oc1ccccc1C(=O)O
acetylsalicylic acid	CC(=O)Oc1ccccc1C(=O)O
[2-(2,6-dichloroanilino)phenyl] acetate	CC(=O)Oc1ccccc1Nc1c(Cl)cccc1Cl
spironolactone	CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
alacepril	CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O
racecadotril	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
sodium acetate	CC(=O)[O-]
potassium acetate	CC(=O)[O-]
magnesium acetate	CC(=O)[O-]
lithium acetate	CC(=O)[O-]
calcium acetate	CC(=O)[O-]
palbociclib	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
armillarisin a	CC(=O)c1cc2c(CO)cc(O)cc2oc1=O
napabucasin	CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O
tonabersat	CC(=O)c1ccc2c(c1)C(NC(=O)c1ccc(F)c(Cl)c1)C(O)C(C)(C)O2
aceprometazine	CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2
acepromazine	CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
acetophenazine	CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
linrodostat	CC(C(=O)Nc1ccc(Cl)cc1)C1CCC(c2ccnc3ccc(F)cc23)CC1
flurbiprofen	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
esflurbiprofen	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
tiaprofenic acid	CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
furprofen	CC(C(=O)O)c1ccc(C(=O)c2ccco2)cc1
suprofen	CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
pelubiprofen	CC(C(=O)O)=c1ccc(=CC2CCCCC2=O)cc1
loxoprofen	CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
indoprofen	CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
araprofen	CC(C(=O)O)c1ccc(Nc2ccccc2C(=O)O)cc1
zaltoprofen	CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2
pranoprofen	CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2
carprofen	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
dexketoprofen	CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
